1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,4,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,4,1
1,0,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1
1,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0,1
1,0,1,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,3,1
1,3,1,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0,1,0,1
1,0,1,0,1,0,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,3,1,3,1,3,1
1,3,1,3,3,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0,3,0,1,0,1
1,0,1,0,1,0,1,0,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,3,1,3,1,3,1,3,1
1,3,3,3,1,3,1,3,1,3,0,3,0,3,0,1,0,3,0,3,0,3,0,1,0,1,0,1,0,3,0,1
1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,1,3,1,3,1,3,1,3,1
1,3,1,3,1,3,1,3,1,3,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,3,0,1,0,1,1,0,0,0,5,0,0,0,1,1,1,3,1,3,3,3,1,3,1,3,1
1,3,1,3,1,3,1,3,1,3,1,1,0,1,1,2,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,1,0,1,0,0,0,0,1,6,7,8,1,0,0,0,0,3,1,3,1,3,1,3,1,3,1
1,3,1,3,3,3,1,3,3,3,1,1,0,1,1,1,1,1,0,1,1,1,0,3,0,1,0,1,0,1,0,1
1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,3,1,3,1,3,1,3,1,3,1
1,3,1,3,1,3,1,3,1,3,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,3,1,3,1,3,1,3,1,3,1
1,3,1,3,1,3,1,3,1,3,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1
